11,10
9,10
10,11
11,11
10,9
11,9
9,9
12,10
12,9
8,10
8,9
12,12
10,8
11,8
9,8
12,8
8,8
13,10
13,9
13,8
7,10
7,9
7,8
12,13
13,13
10,7
11,7
9,7
8,7
13,7
7,7
14,10
14,9
14,8
14,7
6,10
6,9
6,8
13,14
14,14
10,6
11,6
9,6
8,6
7,6
14,6
6,6
15,10
15,11
15,9
15,7
15,6
5,10
5,9
5,11
13,15
14,15
15,15
10,5
11,5
9,5
12,5
8,5
7,5
6,5
15,5
5,5
16,10
16,11
16,9
16,6
4,10
4,9
4,11
14,16
10,4
11,4
9,4
12,4
8,4
7,4
6,4
17,10
17,11
17,9
17,8
3,10
3,9
3,11
3,8
10,3
11,3
9,3
12,3
8,3
13,3
7,3
18,10
18,11
18,9
18,8
2,10
2,9
2,11
2,8
10,2
11,2
9,2
12,2
8,2
19,10
19,11
19,9
1,10
1,9
1,11
10,1
11,1
9,1
20,10
0,10
10,0
